"Name","Type of Institution","Old Name","Date Reregistered","Street Address","Area","State","Telephone","Fax","website","eMail","Postal Address","Country","Ownership Type","Comments","Date Licensed"
"313 Bureau De Change Limited","Bureau De Change","","","Suite5, Zone4 Plaza, Plot 2249, Addis Ababa Crsc ","Wuse, Abuja","ABU","08033818264; 09-7801523; 0803 6833588","","","","","NGN","Domestic","","8/19/2008",
"6JS BDC Ltd","Bureau De Change","","","BLUECREST MALL,SUITE 51 KM43,LEKKI EPE EXPRESSWAY","LEKKI","LAG","07033652054, 07042119864","","","joealeg@yahoo.com","","NGN","Domestic","","12/22/2010",
"8-Twenty Four Bureau de Change Limited","Bureau De Change","","","Investment House,8th Flr.21/25, Broad Street","Lagos","LAG","01-7226181; 08024531014, 08033089676' 07027700559","","","","","NGN","Domestic","","1/20/2010",
"A & S Bureau de Change","Bureau De Change","","","16, Abayomi Adewale Street, Ago Palace Way, Okota","Isolo","LAG","0802 319 4132","","","","","NGN","Domestic","","5/30/2008",
"A & U Buraeu de Change","Bureau De Change","","","47/48, Breadfruit Street, 3rd Floor, Lagos Island","Lagos Island","LAG","01- 4002766; 7218895; 0802 302 6988","","","","","NGN","Domestic","","5/14/2008",
"A AND B BUREAU DE CHANGE LIMITED","Bureau De Change","","","12, UNITY ROAD, KANO","","ABI","8058196403","","","","","NGN","Domestic","","9/23/2008",
"A and C Bureau De Change ltd","Bureau De Change","","6/22/2007","Block 9, Shop 1/2, Agric Market,","","LAG","01-7766812","","","","Coker, Lagos","NGN","Domestic","","6/22/2007",
"A. A. Boss Bureau de Change Limited","Bureau De Change","","","Suite 278, Sheraton Hotels &Towers, Zone 4, Wuse","Wuse- Abuja","ABU","","","","","","NGN","Domestic","","4/23/2009",
"A. W. Y. Bureau de Change Ltd","Bureau De Change","","","10, Bayajidda- Lebanon Road, Kwari Market ","Kano","KAN","08026506093, 08036193388, 064-321716","","","","","NGN","Domestic","","10/28/2009",
"A.A. Lukoro Bureau de Change Limited","Bureau De Change","","","59,Yannono Line, Kwari Market, Fagge, Takudu.","Kano","KAN","","","","","","NGN","Domestic","","",
